Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
United States,2020,1,1/4/2020,60171,55014,845,11568,1828,2531,1560,3502,1066,1095,649,14199,3109,1,1,,,,,,,,,,,,,,,
United States,2020,2,1/11/2020,60735,55746,863,11960,1942,2565,1529,3709,1036,1093,656,13910,3187,0,0,,,,,,,,,,,,,,,
United States,2020,3,1/18/2020,59353,54520,830,11704,1819,2490,1485,3525,993,1123,633,13588,3258,2,1,,,,,,,,,,,,,,,
United States,2020,4,1/25/2020,59153,54396,830,11879,1861,2515,1488,3400,978,1109,663,13605,3183,2,1,,,,,,,,,,,,,,,
United States,2020,5,2/1/2020,58822,53998,813,11961,1827,2477,1416,3313,980,1073,636,13464,3082,0,0,,,,,,,,,,,,,,,
United States,2020,6,2/8/2020,59475,54411,812,11707,1955,2513,1464,3412,974,1136,629,14002,3055,2,1,,,,,,,,,,,,,,,
United States,2020,7,2/15/2020,58799,53959,796,11809,1842,2535,1515,3479,978,1070,637,13637,3086,0,0,,,,,,,,,,,,,,,
United States,2020,8,2/22/2020,58893,53980,782,11781,1879,2515,1462,3451,968,1057,628,13627,3081,5,5,,,,,,,,,,,,,,,
United States,2020,9,2/29/2020,59316,54310,821,11790,1830,2519,1507,3458,1010,1092,700,13708,3125,9,9,,,,,,,,,,,,,,,
United States,2020,10,3/7/2020,59684,54385,815,11713,1861,2508,1611,3468,1004,1072,679,13680,3094,37,33,,,,,,,,,,,,,,,
United States,2020,11,3/14/2020,58667,53532,759,11572,1743,2441,1639,3390,993,1077,671,13437,3165,57,53,,,,,,,,,,,,,,,
United States,2020,12,3/21/2020,59226,54315,844,11737,1833,2511,1748,3384,1019,1104,649,13200,3067,577,540,,,,,,,,,,,,,,,
United States,2020,13,3/28/2020,63007,58229,853,11783,2044,2746,1793,3517,1063,1029,662,13707,3062,3186,3010,,,,,,,,,,,,,,,
United States,2020,14,4/4/2020,72284,67434,953,11595,2296,2868,1865,3537,1029,1036,728,14950,3164,10097,9603,,,,,,,,,,,,,,,
United States,2020,15,4/11/2020,79112,74026,836,11554,2355,2960,1634,3443,1025,1124,703,15774,3191,16272,15466,,,,,,,,,,,,,,,
United States,2020,16,4/18/2020,76794,71892,750,11203,2269,2900,1255,3192,923,1097,706,14575,3206,17139,16241,,,,,,,,,,,,,,,
United States,2020,17,4/25/2020,73904,68754,740,11362,2084,2803,1156,2996,891,986,723,13873,3059,15510,14617,,,,,,,,,,,,,,,
United States,2020,18,5/2/2020,69291,63943,743,11097,1931,2726,1014,2927,852,962,599,12998,3042,13199,12416,,,,,,,,,,,,,,,
United States,2020,19,5/9/2020,66805,61186,721,11015,1968,2493,866,2803,860,938,648,13166,2850,11220,10447,,,,,,,,,,,,,,,
United States,2020,20,5/16/2020,64461,58997,682,11270,1965,2430,865,2770,788,978,611,12734,2960,9210,8467,,,,,,,,,,,,,,,
United States,2020,21,5/23/2020,61624,56026,716,11116,1833,2418,808,2678,751,921,625,12779,2824,7228,6571,,,,,,,,,,,,,,,
United States,2020,22,5/30/2020,59661,54000,654,10903,1812,2260,757,2633,762,892,625,12452,2855,6158,5579,,,,,,,,,,,,,,,
United States,2020,23,6/6/2020,58877,52949,734,11081,1723,2304,704,2561,779,905,614,12463,2793,5037,4500,,,,,,,,,,,,,,,
United States,2020,24,6/13/2020,58013,52301,693,11131,1740,2327,699,2502,737,925,649,12405,2841,4224,3724,,,,,,,,,,,,,,,
United States,2020,25,6/20/2020,57984,52239,686,11154,1788,2360,757,2565,761,931,679,12402,2924,3835,3346,,,,,,,,,,,,,,,
United States,2020,26,6/27/2020,58486,52666,719,11358,1767,2288,726,2537,776,952,634,12511,2959,3828,3319,,,,,,,,,,,,,,,
United States,2020,27,7/4/2020,59798,53812,687,11298,1929,2359,657,2624,780,987,664,12855,2830,4531,4035,,,,,,,,,,,,,,,
United States,2020,28,7/11/2020,61912,55865,766,11322,1953,2469,741,2613,751,918,744,13016,2920,5767,5223,,,,,,,,,,,,,,,
United States,2020,29,7/18/2020,63147,57167,711,11375,1888,2499,769,2644,711,986,753,12855,2983,7174,6512,,,,,,,,,,,,,,,
United States,2020,30,7/25/2020,64225,58416,690,11556,1954,2509,785,2560,733,968,756,12924,2911,8213,7498,,,,,,,,,,,,,,,
United States,2020,31,8/1/2020,64217,58310,694,11510,1985,2500,761,2733,782,960,730,12822,2988,8292,7601,,,,,,,,,,,,,,,
United States,2020,32,8/8/2020,63710,57871,787,11531,1799,2435,780,2592,730,912,750,12811,3035,7849,7169,,,,,,,,,,,,,,,
United States,2020,33,8/15/2020,63620,57796,739,11702,1894,2528,757,2655,798,969,740,12844,2947,7234,6545,,,,,,,,,,,,,,,
United States,2020,34,8/22/2020,62531,56625,739,11514,1933,2565,697,2640,783,968,712,12755,2930,6361,5736,,,,,,,,,,,,,,,
United States,2020,35,8/29/2020,61067,55362,726,11576,1879,2430,681,2560,746,984,719,12468,2988,5716,5124,,,,,,,,,,,,,,,
United States,2020,36,9/5/2020,60210,54276,705,11374,1835,2505,738,2550,801,928,665,12497,2862,4998,4416,,,,,,,,,,,,,,,
United States,2020,37,9/12/2020,59622,53972,699,11461,1890,2328,682,2559,745,929,705,12347,3045,4608,4069,,,,,,,,,,,,,,,
United States,2020,38,9/19/2020,59685,54154,751,11622,1856,2371,721,2516,781,920,723,12672,2948,4256,3750,,,,,,,,,,,,,,,
United States,2020,39,9/26/2020,60584,55094,768,11864,1840,2500,724,2670,790,925,687,12703,3077,4279,3774,,,,,,,,,,,,,,,
United States,2020,40,10/3/2020,59737,54124,726,11417,1891,2413,766,2576,718,944,772,12621,2876,4220,3678,,,,,,,,,,,,,,,
United States,2020,41,10/10/2020,61662,55909,761,11815,1895,2513,724,2612,799,958,743,12767,3118,4796,4258,,,,,,,,,,,,,,,
United States,2020,42,10/17/2020,60489,55159,779,11294,1830,2532,726,2590,816,1020,742,12547,3024,5162,4570,,,,,,,,,,,,,,,
United States,2020,43,10/24/2020,62016,56792,732,11650,1823,2563,767,2694,795,939,749,12823,3074,5947,5288,,,,,,,,,,,,,,,
United States,2020,44,10/31/2020,63235,57982,701,11497,1934,2454,798,2563,827,924,705,13107,3095,6978,6219,,,,,,,,,,,,,,,
United States,2020,45,11/7/2020,67386,61688,770,11778,1956,2653,808,2889,815,1028,848,13605,3153,8710,7807,,,,,,,,,,,,,,,
United States,2020,46,11/14/2020,68561,63103,795,11686,2015,2732,852,2737,857,1025,780,13389,3162,10572,9524,,,,,,,,,,,,,,,
United States,2020,47,11/21/2020,71067,65833,815,11545,2101,2634,834,2796,853,1027,869,13507,3170,13247,11980,,,,,,,,,,,,,,,
United States,2020,48,11/28/2020,72670,67478,768,11285,2128,2743,810,2732,851,1038,899,13406,3098,15486,14020,,,,,,,,,,,,,,,
United States,2020,49,12/5/2020,76885,71668,844,11270,2180,2831,915,2809,911,1028,951,14183,3285,18444,16758,,,,,,,,,,,,,,,
United States,2020,50,12/12/2020,81382,76086,823,11817,2274,2920,951,3009,977,1075,1032,14373,3456,20804,18965,,,,,,,,,,,,,,,
United States,2020,51,12/19/2020,82235,77112,829,11698,2322,3036,947,2923,913,1008,1033,14602,3432,22160,20281,,,,,,,,,,,,,,,
United States,2020,52,12/26/2020,83458,78161,855,11552,2302,2961,967,2826,917,1112,1117,14638,3350,23150,21173,,,,,,,,,,,,,,,
United States,2020,53,1/2/2021,85362,79916,878,11462,2385,3018,1009,3000,895,1090,1198,14913,3436,24343,22282,,,,,,,,,,,,,,,
United States,2021,1,1/9/2021,83642,78632,826,10927,2269,2839,1002,2842,907,1112,1459,14405,3244,24865,22914,,,,,,,,,,,,,,,
United States,2021,2,1/16/2021,83442,78535,780,11407,2324,2853,987,2791,917,1175,1550,14224,3379,24357,22302,,,,,,,,,,,,,,,
United States,2021,3,1/23/2021,79705,75002,791,11108,2062,2789,914,2685,869,1136,1590,13853,3303,22304,20400,,,,,,,,,,,,,,,
United States,2021,4,1/30/2021,75701,71138,744,11234,2047,2553,896,2665,913,1110,1687,13475,3162,19266,17473,,,,,,,,,,,,,,,
United States,2021,5,2/6/2021,73161,68498,783,11141,1969,2461,819,2746,889,1093,1998,13629,3175,16165,14510,,,,,,,,,,,,,,,
United States,2021,6,2/13/2021,68140,63831,795,11058,1951,2296,826,2514,854,1067,2056,13082,3220,12760,11346,,,,,,,,,,,,,,,
United States,2021,7,2/20/2021,65923,61806,777,10877,2116,2391,832,2548,821,1013,2257,13234,3035,10206,8998,,,,,,,,,,,,,,,
United States,2021,8,2/27/2021,63056,58909,826,11000,1815,2358,749,2478,844,1013,2367,12600,3058,8142,7097,,,,,,,,,,,,,,,
United States,2021,9,3/6/2021,59735,55874,746,10763,1804,2183,783,2405,769,1005,2575,12145,3002,6323,5469,,,,,,,,,,,,,,,
United States,2021,10,3/13/2021,57779,54201,798,10756,1734,2153,725,2449,807,944,2711,12016,2928,5318,4490,,,,,,,,,,,,,,,
United States,2021,11,3/20/2021,55880,52434,709,10625,1757,2063,709,2353,795,918,3070,11436,2872,4505,3792,,,,,,,,,,,,,,,
United States,2021,12,3/27/2021,54993,51864,659,10515,1635,2073,621,2437,786,926,3164,11454,2866,4036,3430,,,,,,,,,,,,,,,
United States,2021,13,4/3/2021,51946,49201,621,10104,1651,1870,610,2239,759,882,3351,10670,2641,3682,3110,,,,,,,,,,,,,,,
United States,2021,14,4/10/2021,49992,47650,554,9852,1445,1884,617,2166,647,861,3545,10308,2560,3574,3051,,,,,,,,,,,,,,,
United States,2021,15,4/17/2021,39625,38258,436,7864,1074,1526,444,1789,511,663,3035,8269,2160,3016,2607,,,,,,,,,,,,,,,
United States,2021,16,4/24/2021,29487,28672,327,5997,787,1153,348,1395,447,498,2149,6247,1574,2295,2016,,,,,,,,,,,,,,,
Alabama,2020,1,1/4/2020,1082,1009,15,196,25,54,28,86,13,25,25,268,81,0,0,,,,,,,,,,,,,,,
Alabama,2020,2,1/11/2020,1127,1060,25,197,17,41,27,72,20,23,34,274,68,0,0,,,,,,,,,,,,,,,
Alabama,2020,3,1/18/2020,1039,976,28,201,24,53,31,73,21,23,24,239,45,0,0,,,,,,,,,,,,,,,
Alabama,2020,4,1/25/2020,1056,982,16,190,23,54,29,61,11,14,23,285,70,,0,,,,,,,,,,,,,,Suppressed (counts 1-9),
Alabama,2020,5,2/1/2020,1026,949,15,157,16,58,31,76,17,20,23,265,55,0,0,,,,,,,,,,,,,,,
Alabama,2020,6,2/8/2020,1120,1029,26,191,24,45,28,70,20,24,27,304,52,0,0,,,,,,,,,,,,,,,
Alabama,2020,7,2/15/2020,1095,1021,17,193,24,50,35,74,23,18,26,255,81,0,0,,,,,,,,,,,,,,,
Alabama,2020,8,2/22/2020,1098,1018,17,222,29,47,25,65,12,12,15,285,74,0,0,,,,,,,,,,,,,,,
Alabama,2020,9,2/29/2020,1164,1093,21,212,28,62,31,88,20,21,25,294,60,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Alabama,2020,10,3/7/2020,1057,953,18,144,25,65,34,60,24,23,22,265,57,0,0,,,,,,,,,,,,,,,
Alabama,2020,11,3/14/2020,1091,1013,16,199,31,65,30,75,28,27,20,265,69,0,0,,,,,,,,,,,,,,,
Alabama,2020,12,3/21/2020,1059,986,17,227,25,46,26,67,24,22,16,263,72,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Alabama,2020,13,3/28/2020,1073,990,15,188,23,67,26,75,24,15,22,244,69,23,20,,,,,,,,,,,,,,,
Alabama,2020,14,4/4/2020,1156,1077,27,202,34,74,23,67,24,22,25,258,68,49,45,,,,,,,,,,,,,,,
Alabama,2020,15,4/11/2020,1135,1056,25,166,31,63,18,60,20,17,28,267,64,81,77,,,,,,,,,,,,,,,
Alabama,2020,16,4/18/2020,1149,1053,20,183,35,62,18,67,21,17,19,249,62,89,85,,,,,,,,,,,,,,,
Alabama,2020,17,4/25/2020,1139,1038,20,200,28,55,25,53,12,17,14,265,63,84,77,,,,,,,,,,,,,,,
Alabama,2020,18,5/2/2020,1147,1049,17,197,22,57,26,67,19,24,11,271,62,81,75,,,,,,,,,,,,,,,
Alabama,2020,19,5/9/2020,1171,1084,17,201,28,45,12,58,18,15,22,305,53,116,105,,,,,,,,,,,,,,,
Alabama,2020,20,5/16/2020,1148,1050,19,203,29,47,15,71,17,21,23,259,49,95,89,,,,,,,,,,,,,,,
Alabama,2020,21,5/23/2020,1153,1055,22,192,22,62,18,53,16,21,25,282,55,80,77,,,,,,,,,,,,,,,
Alabama,2020,22,5/30/2020,1109,999,23,161,29,53,21,52,14,15,23,241,47,103,99,,,,,,,,,,,,,,,
Alabama,2020,23,6/6/2020,1173,1071,27,212,20,48,16,62,19,15,15,290,55,91,86,,,,,,,,,,,,,,,
Alabama,2020,24,6/13/2020,1138,1031,14,176,23,53,11,65,17,24,19,280,58,81,75,,,,,,,,,,,,,,,
Alabama,2020,25,6/20/2020,1090,1007,29,198,22,48,12,62,16,17,25,256,55,88,81,,,,,,,,,,,,,,,
Alabama,2020,26,6/27/2020,1151,1064,12,222,23,60,16,55,15,17,19,266,67,103,95,,,,,,,,,,,,,,,
Alabama,2020,27,7/4/2020,1200,1110,14,221,30,59,13,60,,18,25,297,49,122,116,,,,,,,,,Suppressed (counts 1-9),,,,,,
Alabama,2020,28,7/11/2020,1265,1177,17,217,31,62,12,64,14,19,23,305,72,135,122,,,,,,,,,,,,,,,
Alabama,2020,29,7/18/2020,1289,1201,23,203,24,68,22,71,17,19,25,275,66,191,171,,,,,,,,,,,,,,,
Alabama,2020,30,7/25/2020,1333,1257,21,212,28,65,17,69,10,20,23,285,78,250,240,,,,,,,,,,,,,,,
Alabama,2020,31,8/1/2020,1364,1269,15,198,23,56,25,74,21,20,15,311,71,262,238,,,,,,,,,,,,,,,
Alabama,2020,32,8/8/2020,1379,1288,15,177,32,40,21,76,14,17,28,291,69,263,252,,,,,,,,,,,,,,,
Alabama,2020,33,8/15/2020,1305,1207,,166,26,60,20,68,21,15,24,292,74,228,213,,,Suppressed (counts 1-9),,,,,,,,,,,,
Alabama,2020,34,8/22/2020,1303,1219,16,193,22,55,17,58,13,21,26,293,75,209,197,,,,,,,,,,,,,,,
Alabama,2020,35,8/29/2020,1216,1129,19,191,24,54,17,62,19,20,22,250,56,185,175,,,,,,,,,,,,,,,
Alabama,2020,36,9/5/2020,1216,1132,22,212,24,61,14,65,12,15,12,258,60,155,141,,,,,,,,,,,,,,,
Alabama,2020,37,9/12/2020,1232,1148,17,198,28,66,12,59,19,23,21,295,49,138,130,,,,,,,,,,,,,,,
Alabama,2020,38,9/19/2020,1200,1132,18,226,20,56,17,69,22,20,15,256,62,138,134,,,,,,,,,,,,,,,
Alabama,2020,39,9/26/2020,1183,1109,21,204,35,65,20,62,13,15,22,261,58,105,100,,,,,,,,,,,,,,,
Alabama,2020,40,10/3/2020,1103,1010,14,181,28,47,21,55,11,20,10,260,47,110,99,,,,,,,,,,,,,,,
Alabama,2020,41,10/10/2020,1204,1120,15,189,28,58,18,63,20,21,20,303,62,136,126,,,,,,,,,,,,,,,
Alabama,2020,42,10/17/2020,1190,1115,20,198,28,60,12,59,19,21,19,260,69,125,111,,,,,,,,,,,,,,,
Alabama,2020,43,10/24/2020,1142,1058,18,200,16,54,20,54,16,19,17,277,47,119,112,,,,,,,,,,,,,,,
Alabama,2020,44,10/31/2020,1169,1093,22,187,23,62,23,47,23,12,21,277,60,131,119,,,,,,,,,,,,,,,
Alabama,2020,45,11/7/2020,1277,1184,15,215,27,54,14,54,19,23,22,297,65,150,140,,,,,,,,,,,,,,,
Alabama,2020,46,11/14/2020,1269,1190,16,209,27,64,13,62,19,24,25,289,58,175,165,,,,,,,,,,,,,,,
Alabama,2020,47,11/21/2020,1275,1177,11,195,29,69,17,58,13,27,23,267,61,168,155,,,,,,,,,,,,,,,
Alabama,2020,48,11/28/2020,1326,1240,24,206,26,57,17,64,14,27,28,290,55,201,185,,,,,,,,,,,,,,,
Alabama,2020,49,12/5/2020,1354,1260,30,177,32,63,14,65,29,14,25,300,66,248,237,,,,,,,,,,,,,,,
Alabama,2020,50,12/12/2020,1599,1511,21,228,47,83,21,56,24,24,26,301,71,374,358,,,,,,,,,,,,,,,
Alabama,2020,51,12/19/2020,1584,1486,13,196,31,71,31,70,17,26,32,309,70,387,360,,,,,,,,,,,,,,,
Alabama,2020,52,12/26/2020,1625,1553,23,195,46,74,17,66,24,25,27,328,59,449,422,,,,,,,,,,,,,,,
Alabama,2020,53,1/2/2021,1801,1703,23,200,35,79,21,69,26,26,42,327,77,505,477,,,,,,,,,,,,,,,
Alabama,2021,1,1/9/2021,1792,1698,21,224,35,70,20,79,27,24,40,333,60,538,519,,,,,,,,,,,,,,,
Alabama,2021,2,1/16/2021,1807,1726,16,212,45,66,24,63,21,25,39,339,65,584,560,,,,,,,,,,,,,,,
Alabama,2021,3,1/23/2021,1766,1673,17,192,37,63,20,63,26,33,36,332,64,563,535,,,,,,,,,,,,,,,
Alabama,2021,4,1/30/2021,1623,1556,20,205,35,64,20,73,24,22,33,309,62,482,454,,,,,,,,,,,,,,,
Alabama,2021,5,2/6/2021,1486,1397,22,212,23,66,23,68,20,22,35,295,61,341,328,,,,,,,,,,,,,,,
Alabama,2021,6,2/13/2021,1399,1317,20,196,28,66,13,66,25,20,28,316,76,260,244,,,,,,,,,,,,,,,
Alabama,2021,7,2/20/2021,1307,1243,29,194,35,61,20,43,27,18,38,304,61,207,188,,,,,,,,,,,,,,,
Alabama,2021,8,2/27/2021,1278,1206,21,179,20,57,21,58,16,14,37,317,74,166,148,,,,,,,,,,,,,,,
Alabama,2021,9,3/6/2021,1124,1036,18,197,20,50,22,42,28,24,35,247,55,105,90,,,,,,,,,,,,,,,
Alabama,2021,10,3/13/2021,1139,1067,12,173,22,44,22,60,17,25,41,259,52,98,89,,,,,,,,,,,,,,,
Alabama,2021,11,3/20/2021,1014,956,25,162,22,58,18,49,16,22,38,217,48,75,67,,,,,,,,,,,,,,,
Alabama,2021,12,3/27/2021,1093,1016,24,151,30,43,22,58,24,18,45,276,89,69,60,,,,,,,,,,,,,,,
Alabama,2021,13,4/3/2021,977,922,16,174,23,39,18,66,15,16,39,209,57,60,51,,,,,,,,,,,,,,,
Alabama,2021,14,4/10/2021,952,915,17,176,20,40,16,48,18,20,38,230,61,46,42,,,,,,,,,,,,,,,
Alabama,2021,15,4/17/2021,759,733,17,164,30,39,11,38,11,10,30,172,36,30,26,,,,,,,,,,,,,,,
Alabama,2021,16,4/24/2021,498,485,13,101,,24,11,28,10,,13,121,29,18,16,,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,,,
Alaska,2020,1,1/4/2020,89,71,,16,,,0,,0,,0,17,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,2,1/11/2020,105,93,,22,,,0,,,,0,24,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,3,1/18/2020,99,83,,21,,,0,,,,0,15,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,4,1/25/2020,97,82,,21,,,0,,0,,,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,5,2/1/2020,85,74,,17,,,,,,0,,20,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,6,2/8/2020,92,75,0,15,,,,,,,,22,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,7,2/15/2020,89,74,,20,,,0,,,,0,19,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,8,2/22/2020,83,64,,16,,,,,,0,,,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Alaska,2020,9,2/29/2020,84,76,,18,,0,,,,,,14,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,10,3/7/2020,79,68,,20,0,,,,,,0,15,,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,11,3/14/2020,92,80,,20,,0,,,,0,,22,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,12,3/21/2020,69,56,0,,,,,,,,,10,,0,0,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,13,3/28/2020,85,74,,16,,,,,,,0,15,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,14,4/4/2020,98,84,,21,,,,,,0,0,14,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,15,4/11/2020,84,71,,15,,,,,,,,20,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,16,4/18/2020,80,71,0,17,,,,,0,,0,13,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,17,4/25/2020,61,55,,12,0,,,,,,0,12,0,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Alaska,2020,18,5/2/2020,87,78,,17,,,,,,0,,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,19,5/9/2020,89,77,,20,,,,,,0,0,13,,,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),
Alaska,2020,20,5/16/2020,83,68,0,18,,0,,,0,,,20,,0,0,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,21,5/23/2020,82,68,0,19,,,0,,0,0,0,17,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,
Alaska,2020,22,5/30/2020,97,82,,23,,,0,,0,,,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,23,6/6/2020,79,66,0,16,,,,,,0,,19,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,24,6/13/2020,88,71,,19,,,,,,0,0,16,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,25,6/20/2020,92,74,0,28,0,,,,0,,,15,,0,0,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,26,6/27/2020,90,67,0,16,,,,,,0,,15,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,27,7/4/2020,84,64,,16,,,0,,0,,,17,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,28,7/11/2020,101,83,,20,,,0,,0,,,19,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
